CategoryName;ItemId
Accounts > CalDAV;com.apple.caldav.account_caldavaccountdescription
Accounts > CalDAV;com.apple.caldav.account_com.apple.caldav.account
Accounts > CalDAV;com.apple.caldav.account_caldavhostname
Accounts > CalDAV;com.apple.caldav.account_caldavusername
Accounts > CalDAV;com.apple.caldav.account_caldavusessl
Accounts > CalDAV;com.apple.caldav.account_caldavport
Accounts > CalDAV;com.apple.caldav.account_caldavprincipalurl
Accounts > CalDAV;com.apple.caldav.account_caldavpassword
Accounts > CardDAV;com.apple.carddav.account_carddavusername
Accounts > CardDAV;com.apple.carddav.account_com.apple.carddav.account
Accounts > CardDAV;com.apple.carddav.account_carddavhostname
Accounts > CardDAV;com.apple.carddav.account_carddavport
Accounts > CardDAV;com.apple.carddav.account_carddavaccountdescription
Accounts > CardDAV;com.apple.carddav.account_carddavpassword
Accounts > CardDAV;com.apple.carddav.account_carddavusessl
Accounts > LDAP;com.apple.ldap.account_com.apple.ldap.account
Accounts > LDAP;com.apple.ldap.account_ldapaccountusername
Accounts > LDAP;com.apple.ldap.account_ldapsearchsettings_item_ldapsearchsettingdescription
Accounts > LDAP;com.apple.ldap.account_ldapaccountpassword
Accounts > LDAP;com.apple.ldap.account_ldapsearchsettings_item_ldapsearchsettingsearchbase
Accounts > LDAP;com.apple.ldap.account_ldapsearchsettings
Accounts > LDAP;com.apple.ldap.account_ldapsearchsettings_item_ldapsearchsettingscope
Accounts > LDAP;com.apple.ldap.account_ldapaccountdescription
Accounts > LDAP;com.apple.ldap.account_ldapaccounthostname
Accounts > LDAP;com.apple.ldap.account_ldapaccountusessl
AirPlay > AirPlay;com.apple.airplay_com.apple.airplay
AirPlay > AirPlay;com.apple.airplay_allowlist
AirPlay > AirPlay;com.apple.airplay_passwords_item_password
AirPlay > AirPlay;com.apple.airplay_passwords
AirPlay > AirPlay;com.apple.airplay_allowlist_item_deviceid
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_realm
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_ignored_$typepicker
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_urls
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authorizationgroups_generickey_keytobereplaced
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensionidentifier
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_additionalgroups
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_tokentousermapping
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_screenlockedbehavior
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_deniedbundleidentifiers
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_tokentousermapping_accountname
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authorizationgroups_group
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_userauthorizationmode
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authorizationgroups_authorization right
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_newuserauthorizationmode
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensiondata_generickey_string
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_enableauthorization
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_type
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensiondata_generickey_integer
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_administratorgroups
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authenticationmethod
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensiondata
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_accountdisplayname
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_enablecreateuseratlogin
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_com.apple.extensiblesso
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_hosts
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_loginfrequency
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authorizationgroups_generickey
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensiondata_generickey_boolean
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_extensiondata_generickey_keytobereplaced
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_tokentousermapping_fullname
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_useshareddevicekeys
Authentication > Extensible Single Sign On (SSO);com.apple.extensiblesso_platformsso_authorizationgroups
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_allowautomaticlogin_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_teamidentifier_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensionidentifier_kerberos
Authentication > Extensible Single Sign On Kerberos;com.apple.extensiblesso_extensiondata_preferredkdcs_kerberos
